sybil_address,account_type
0x701ac376ef5e9524a08ae45c6decc816701fbd15,core
0x09322a477e167730dfbd252cedc163e059d9bde6,satellite
0x5be45f8d3abc07f6b37ea20cb2ac0f29b589f4ea,satellite
0x513b647ad27b38c23a0503a8421151b322d21770,satellite
0xd74078d7432128ba0842c5df478d47ee77383dc2,satellite
0xc5bb2f4794fbdee6a8eb6ef3f19b08dc3ece73e7,core
0xc4fad66f8fce143284a4a783bb4a6125d9c2a2ab,satellite
0x67347350aa1d05b97b0a9edc84d43148d16a2acf,satellite
0x62cdf63aebbc1b37aeab62cdf8b27f6f9d737c1c,satellite
0x85f6e9158f2780131aa6ca1253a809e6ab48ea52,satellite
0x793761ed1d005f34599f7d13d58e52feba919ff6,core
0x26d3783620041995ad563539305c64f34f5b80c3,core
0x720ad62731ad984e42552e0793ac4283d8019ffd,core
0x672ddf256607dbc2db1125846f49bd26c43e702f,satellite
0x6b80e9a71cd1e8773f3407fbfcd772a2f540dd6a,satellite
0x192d6b0280aa09c1c31a21a2494577678e9fc15f,satellite
0x7507fa498c81e744faf177c2a4c22fe1f681323e,satellite
0x40668a739eeed32771738122303f38f309d0107f,satellite
0x762065bc46d59b13a990d326c625168d760246fb,satellite
0x96bef9a61cc13d547a27bc302de471770931586b,satellite
0x306f29ff9ac1a2fa654017d2bed158e7c43f4c9f,satellite
0xed1470e4d827365ea7dd148fe2fb9310cead917c,core
0x1dc22ce49f5fde5035aa00d7f904f25db6f7df44,satellite
0x80c89fc778e94f54479276640f38603b1a8f617f,satellite
0x539323b6f777e7c85e6f9bb19d6694eb6a713c76,satellite
0x8749ed3131265b1fbc243f5c6ff0fe4a1dff783c,satellite
0x135b26082705d66299ea8d140956057d6d612a63,satellite
0x4e980761c3b2ff4a672ed33102875286af18d70c,satellite
0x16e76103d211ec28f72b3ad3ed9ffe7b5277bc5c,satellite
0xe8caee8bd706dae0f8e8dc01ef28ffcb3d3c99f1,satellite
0xca1b68d893ec3c749bfd03c85042ce2e597606da,core
0x7e84dc5e345d61a2337a19629681a9494c8d0c09,core
0x99bfa2fd79ceed90f67c320d81b92bcdb4337326,satellite
0x29ce0df06da9d430538606251c377476c6423cd1,core
0x21135f8f429b1d911ddcc632386d5df8ff27f1b3,core
0xfc6941dbdeb97f4faf23d3b685e67645140b717d,core
0xb4d9a1b3da93a2a259d164151cdbd3b1530ec1d0,core
0x35db4d9df0e5c161bddb3c6b62bf44d1d160270a,satellite
0x9994bb27cde6c4557e1324bd7a559725609a163d,satellite
0x9dee8bec029c788c8308610e7f0a81c1717cc162,satellite
0x9a7fffa8aee1e2c9d1d157f1d16383d076573fcc,satellite
0x03f6db2ef176e0e80d2f8046a5610a24ecd200a4,satellite
0x202d8bc85e0082172a65dc5f72b434ead9792fed,core
0xbd1feee19e59eccc2ba2b4337b3f9b92951b64ba,satellite
0xbbd2fca9b512442e97b0b75bc9b2169ed71fa66d,satellite
0x741dc66dbb37acf2f3cce1accefcbf1a2a562878,core
0x4fb54a3a9d023fdb5745d89ee46aaa5212ab577d,satellite
0x2790ba1b58cccf4d5748bdf869260bc2b9c5bd98,satellite
0x327fcb0bb7095f9b8035cd075980bd4c5713f695,core
0x45cc84eb7d7d0e9377080300099c9d3c380b6622,core
0xa14e1fd5482d25ce5ee2617e68e612b8f4a813ab,core
0x0ced0564a8d823f86791111d1ed2b6cf9910d7d7,satellite
0x9fff4c3960d6e5f53e55bb0eaf79323bb09d68c0,satellite
0x78f697debe511bca16f7266b5bd6059f65da5183,core
0x12cfdc74698200f503be1c30f8141262f4d1f09e,core
0x37e5c41ca86acea44469d11f23f8d5ffca3ec2cd,satellite
0xbb9d679fbbefd3ccd0a163200f2e85336046c3c7,core
0x22257c3e5db75d65be5348e63f15960cb83bfa8a,satellite
0x3e0c5701014857ef6846c901b737a663cdc56620,core
0xc56e998012cfbe586401c67a634d4ad7841d6e56,satellite
0xf698558462dcfac514d2156f3a2bac91f16ed007,satellite
0x44dfd129e4292c17dc52210d4a645dfcce042b2c,satellite
0xed2cf2eaaef6152c3fce3d0565ad260ff4c8a955,satellite
0x85ea8400260cfa9e9c5116959fa2976565161e5b,satellite
0xb448420fbb4125000158a57aabeb33d8744aac50,satellite
0xc03b74f0032547649b70bd8a68e148353a50a407,satellite
0x721eebbf1d5957ec907b6f8d3392698efd9549be,core
0x2cdaa81ac0d26947aeff1e4465bf8eed524d0a4e,satellite
0x7020abaa69017d230a7b9f8bac12288bd4cf8e5a,satellite
0x928f07c2ac11babdfe3623dfe8b82d1bc70666c5,core
0xe97cc221e00bfe6f99505c97e91b6bd0a0671845,satellite
0x945e651c3660a7b0f7428a0361cafebe87a9c219,satellite
0x41e9b53e1405834a0072515e7ec067e32fa85a25,satellite
0x6a40748e5f65764ad785bb9b2b2fa9d5f3788c5a,satellite
0x49faa7a735753f84ae682cb06cb529139f2c8c40,satellite
0x935e9d6647cef677746301a4e7a3d849814edd95,satellite
0x311787168158e9e705a2cdb6f65790758d5bd7fc,satellite
0xc88572a5e97e278950bc259a8f4da87d9bd88189,satellite
